Question Number,Question,Answer,Category,Difficulty
1,What are the key principles of CI/CD pipelines?,...,General Programming,Medium
2,What are the key principles of Normalisation in databases?,...,General Programming,Medium
3,Describe a real-world application of Polymorphism.,...,General Programming,Medium
4,What are the advantages and disadvantages of Memory management?,...,General Programming,Medium
5,Compare and contrast Concurrency with Big O notation.,...,General Programming,Hard
6,Describe a real-world application of CI/CD pipelines.,...,General Programming,Hard
7,"How would you implement Data structures (e.g., Hash tables, Trees, Graphs) in Python/Java/C++?",...,General Programming,Medium
8,Compare and contrast SQL Joins with Encapsulation.,...,General Programming,Easy
9,What is Agile methodology and why is it important?,...,General Programming,Hard
10,Compare and contrast Abstraction with Big O notation.,...,General Programming,Hard
11,What are the advantages and disadvantages of Inheritance?,...,General Programming,Medium
12,"What are the key principles of Data structures (e.g., Hash tables, Trees, Graphs)?",...,General Programming,Easy
13,What are the advantages and disadvantages of ACID properties?,...,General Programming,Easy
14,What are the advantages and disadvantages of ACID properties?,...,General Programming,Easy
15,How would you implement Concurrency in Python/Java/C++?,...,General Programming,Hard
16,Describe a real-world application of Inheritance.,...,General Programming,Hard
17,Compare and contrast OSI model with SOLID principles.,...,General Programming,Easy
18,Compare and contrast TCP/IP model with Mutexes and Semaphores.,...,General Programming,Hard
19,What are the key principles of ACID properties?,...,General Programming,Medium
20,How would you implement Virtual Memory in Python/Java/C++?,...,General Programming,Hard
21,How would you implement OSI model in Python/Java/C++?,...,General Programming,Hard
22,How would you implement OSI model in Python/Java/C++?,...,General Programming,Hard
23,What are the key principles of Encapsulation?,...,General Programming,Hard
24,Compare and contrast Big O notation with Docker.,...,General Programming,Easy
25,Explain the concept of NoSQL databases.,...,General Programming,Easy
26,Compare and contrast Paging with Mutexes and Semaphores.,...,General Programming,Medium
27,Compare and contrast Paging with Memory management.,...,General Programming,Easy
28,Describe a real-world application of Normalisation in databases.,...,General Programming,Easy
29,What are the advantages and disadvantages of Mutexes and Semaphores?,...,General Programming,Hard
30,What are the advantages and disadvantages of Kubernetes?,...,General Programming,Easy
31,What is Polymorphism and why is it important?,...,General Programming,Medium
32,How would you implement Big O notation in Python/Java/C++?,...,General Programming,Medium
33,How does Deadlocks work internally?,...,General Programming,Hard
34,How does SOLID principles work internally?,...,General Programming,Easy
35,What is REST APIs and why is it important?,...,General Programming,Easy
36,What is OSI model and why is it important?,...,General Programming,Hard
37,How does Kubernetes work internally?,...,General Programming,Medium
38,Explain the concept of Garbage Collection.,...,General Programming,Easy
39,What are the key principles of Deadlocks?,...,General Programming,Hard
40,Compare and contrast Garbage Collection with ACID properties.,...,General Programming,Medium
41,How would you implement Encapsulation in Python/Java/C++?,...,General Programming,Easy
42,What is Agile methodology and why is it important?,...,General Programming,Medium
43,"Explain the concept of Sorting algorithms (e.g., Quicksort, Mergesort).",...,General Programming,Easy
44,Describe a real-world application of TCP/IP model.,...,General Programming,Easy
45,Explain the concept of Kubernetes.,...,General Programming,Easy
46,Explain the concept of Mutexes and Semaphores.,...,General Programming,Easy
47,What is Normalisation in databases and why is it important?,...,General Programming,Medium
48,Describe a real-world application of Mutexes and Semaphores.,...,General Programming,Easy
49,Compare and contrast ACID properties with Abstraction.,...,General Programming,Medium
50,How would you implement Kubernetes in Python/Java/C++?,...,General Programming,Medium
51,How would you implement Scrum framework in Python/Java/C++?,...,General Programming,Medium
52,Explain the concept of Garbage Collection.,...,General Programming,Easy
53,Compare and contrast Normalisation in databases with CI/CD pipelines.,...,General Programming,Medium
54,What are the key principles of Concurrency?,...,General Programming,Easy
55,Explain the concept of ACID properties.,...,General Programming,Easy
56,Describe a real-world application of Agile methodology.,...,General Programming,Medium
57,How would you implement Big O notation in Python/Java/C++?,...,General Programming,Medium
58,Compare and contrast Scrum framework with Inheritance.,...,General Programming,Hard
59,What is Paging and why is it important?,...,General Programming,Medium
60,How does Mutexes and Semaphores work internally?,...,General Programming,Medium
61,Compare and contrast Multithreading with Agile methodology.,...,General Programming,Easy
62,How would you implement Multithreading in Python/Java/C++?,...,General Programming,Medium
63,What are the advantages and disadvantages of Docker?,...,General Programming,Medium
64,Explain the concept of ACID properties.,...,General Programming,Hard
65,What are the advantages and disadvantages of Mutexes and Semaphores?,...,General Programming,Hard
66,How does Memory management work internally?,...,General Programming,Medium
67,What are the advantages and disadvantages of Deadlocks?,...,General Programming,Medium
68,What are the key principles of Concurrency?,...,General Programming,Medium
69,What are the key principles of Garbage Collection?,...,General Programming,Easy
70,How would you implement Agile methodology in Python/Java/C++?,...,General Programming,Hard
71,What are the key principles of Memory management?,...,General Programming,Easy
72,"Compare and contrast Data structures (e.g., Hash tables, Trees, Graphs) with Concurrency.",...,General Programming,Medium
73,Explain the concept of ACID properties.,...,General Programming,Easy
74,Compare and contrast Docker with SOLID principles.,...,General Programming,Hard
75,What is SOLID principles and why is it important?,...,General Programming,Hard
76,How would you implement Concurrency in Python/Java/C++?,...,General Programming,Easy
77,What are the advantages and disadvantages of Mutexes and Semaphores?,...,General Programming,Medium
78,How does Scrum framework work internally?,...,General Programming,Easy
79,Explain the concept of NoSQL databases.,...,General Programming,Hard
80,Describe a real-world application of OSI model.,...,General Programming,Easy
81,Explain the concept of Memory management.,...,General Programming,Easy
82,What are the key principles of Inheritance?,...,General Programming,Hard
83,How would you implement ACID properties in Python/Java/C++?,...,General Programming,Easy
84,What is Concurrency and why is it important?,...,General Programming,Easy
85,"How would you implement Data structures (e.g., Hash tables, Trees, Graphs) in Python/Java/C++?",...,General Programming,Easy
86,How does Docker work internally?,...,General Programming,Hard
87,Describe a real-world application of Polymorphism.,...,General Programming,Easy
88,"How would you implement Data structures (e.g., Hash tables, Trees, Graphs) in Python/Java/C++?",...,General Programming,Hard
89,How does NoSQL databases work internally?,...,General Programming,Medium
90,What are the advantages and disadvantages of REST APIs?,...,General Programming,Hard
91,What are the key principles of CI/CD pipelines?,...,General Programming,Easy
92,How does NoSQL databases work internally?,...,General Programming,Easy
93,How would you implement OSI model in Python/Java/C++?,...,General Programming,Hard
94,Describe a real-world application of TCP/IP model.,...,General Programming,Easy
95,What are the key principles of Deadlocks?,...,General Programming,Easy
96,How would you implement Docker in Python/Java/C++?,...,General Programming,Easy
97,Compare and contrast ACID properties with Agile methodology.,...,General Programming,Hard
98,How does Encapsulation work internally?,...,General Programming,Hard
99,Explain the concept of SQL Joins.,...,General Programming,Medium
100,How would you implement OSI model in Python/Java/C++?,...,General Programming,Easy
101,What is Normalisation in databases and why is it important?,...,General Programming,Hard
102,"Compare and contrast Data structures (e.g., Hash tables, Trees, Graphs) with Agile methodology.",...,General Programming,Medium
103,Compare and contrast Docker with CI/CD pipelines.,...,General Programming,Easy
104,How does SOLID principles work internally?,...,General Programming,Medium
105,Explain the concept of Abstraction.,...,General Programming,Medium
106,Compare and contrast Concurrency with Inheritance.,...,General Programming,Hard
107,Explain the concept of NoSQL databases.,...,General Programming,Easy
108,How would you implement OSI model in Python/Java/C++?,...,General Programming,Easy
109,Compare and contrast Inheritance with Agile methodology.,...,General Programming,Hard
110,Describe a real-world application of CI/CD pipelines.,...,General Programming,Hard
111,What is REST APIs and why is it important?,...,General Programming,Hard
112,How would you implement Paging in Python/Java/C++?,...,General Programming,Medium
113,How does Deadlocks work internally?,...,General Programming,Hard
114,What are the advantages and disadvantages of Mutexes and Semaphores?,...,General Programming,Hard
115,How would you implement Encapsulation in Python/Java/C++?,...,General Programming,Hard
116,Explain the concept of Multithreading.,...,General Programming,Hard
117,Describe a real-world application of SQL Joins.,...,General Programming,Easy
118,"How does Data structures (e.g., Hash tables, Trees, Graphs) work internally?",...,General Programming,Medium
119,What are the advantages and disadvantages of OSI model?,...,General Programming,Hard
120,Compare and contrast Docker with Polymorphism.,...,General Programming,Easy
121,What are the advantages and disadvantages of Garbage Collection?,...,General Programming,Hard
122,What are the advantages and disadvantages of NoSQL databases?,...,General Programming,Medium
123,Describe a real-world application of Mutexes and Semaphores.,...,General Programming,Medium
124,What are the key principles of Normalisation in databases?,...,General Programming,Hard
125,Explain the concept of Docker.,...,General Programming,Easy
126,Compare and contrast Paging with Memory management.,...,General Programming,Easy
127,"What are the key principles of Data structures (e.g., Hash tables, Trees, Graphs)?",...,General Programming,Hard
128,What is Agile methodology and why is it important?,...,General Programming,Easy
129,Explain the concept of Encapsulation.,...,General Programming,Hard
130,"Compare and contrast Sorting algorithms (e.g., Quicksort, Mergesort) with NoSQL databases.",...,General Programming,Easy
131,How does Concurrency work internally?,...,General Programming,Hard
132,What are the key principles of SOLID principles?,...,General Programming,Easy
133,Compare and contrast CI/CD pipelines with ACID properties.,...,General Programming,Easy
